source_path,repo_root,file_type,priority_bucket,matched_terms,selection_reason,size_bytes,mtime_utc
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/__init__.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,511,2026-02-13 17:16:42.575361013+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/build_env.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,21911,2026-02-13 17:16:42.575470209+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cache.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,10345,2026-02-13 17:16:42.575549841+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cli/__init__.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,131,2026-02-13 17:16:42.576076746+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cli/autocompletion.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,7193,2026-02-13 17:16:42.576137304+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cli/base_command.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,9168,2026-02-13 17:16:42.576201916+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cli/cmdoptions.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,36164,2026-02-13 17:16:42.576327801+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cli/command_context.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,817,2026-02-13 17:16:42.576375961+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cli/index_command.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,6484,2026-02-13 17:16:42.576430321+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cli/main.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,3137,2026-02-13 17:16:42.576480389+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cli/main_parser.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,4403,2026-02-13 17:16:42.576531410+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cli/parser.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,13827,2026-02-13 17:16:42.576611042+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cli/progress_bars.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,4706,2026-02-13 17:16:42.576663971+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cli/req_command.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,16482,2026-02-13 17:16:42.576744556+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cli/spinners.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,7362,2026-02-13 17:16:42.576808453+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/cli/status_codes.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,116,2026-02-13 17:16:42.576848745+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/__init__.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,4026,2026-02-13 17:16:42.576915503+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/cache.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,9142,2026-02-13 17:16:42.576984644+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/check.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,2244,2026-02-13 17:16:42.577032328+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/completion.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,4565,2026-02-13 17:16:42.577080011+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/configuration.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,10105,2026-02-13 17:16:42.577147007+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/debug.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,6805,2026-02-13 17:16:42.577207804+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/download.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,5178,2026-02-13 17:16:42.577260971+00:00
/home/wilson/CEP_COMPRA/.venv/lib/python3.13/site-packages/pip/_internal/commands/freeze.py,/home/wilson/CEP_COMPRA,py,others,cep,matched_search_terms,3099,2026-02-13 17:16:42.577310562+00:00
