date,label_window,sinais_cep_master_xt,sinais_cep_stress_i,sinais_cep_stress_amp,sinais_cep_trend_run7,sinais_cep_daily_return_m6,sinais_cep_cash_ratio_m6,sinais_cep_rule_one_below_lcl,sinais_cep_rule_two_of_three_below_2sigma_neg,sinais_cep_xbar_t,sinais_cep_r_t,sinais_cep_xbar_lcl,sinais_cep_two_sigma_neg
2018-09-11,W1,-0.023549498859133,0,0,0,-0.005979664744877877,0.19458982195932412,,,,,,
2018-09-12,W1,0.0062491023353798,0,0,0,-0.005862840131599989,0.1957855171624625,,,,,,
2018-09-13,W1,-0.0058473453126199,0,0,0,-0.004183752933574647,0.1966564089439721,,,,,,
2018-09-14,W1,0.0098857689102368,0,0,0,0.006136701621647589,0.19550499715589598,,,,,,
2018-09-17,W1,0.0178695842756947,0,0,0,-0.003871869700794228,0.0,,,,,,
2018-09-18,W1,0.0196649857744948,0,0,0,0.006596155219657396,0.0,,,,,,
2018-09-19,W1,-0.0018532369842097,0,0,0,-0.00025404452412947087,0.10311191597781204,,,,,,
2018-09-20,W1,-0.0006782480984324,0,0,0,0.01177853373252602,0.1019366002949636,,,,,,
2018-09-21,W1,0.016857469516009,0,0,0,0.01161983226292529,0.10079049077293467,,,,,,
2018-09-24,W1,-0.0185486934937493,0,0,0,0.0056238701441500005,0.0,,,,,,
2018-09-25,W1,0.0082496285606288,0,0,0,0.002524400288137496,0.1057575658991232,,,,,,
2018-09-26,W1,0.000330607940145,0,0,0,-0.001034503784918539,0.10589311110578391,,,,,,
2018-09-27,W1,0.0169427207303119,0,0,0,-0.0027151446790192324,0.10646604359416767,,,,,,
2018-09-28,W1,-0.0082590119396958,0,0,0,0.003936015926823577,0.10607470441565131,,,,,,
2018-10-01,W1,-0.0090906263954172,0,0,0,-0.002385383493767601,0.0,,,,,,
2018-10-02,W1,0.0372993136427334,0,0,0,0.005865562952441561,0.20844089709262947,,,,,,
2018-10-03,W1,0.0201480569980649,0,0,0,0.0023590057622844274,0.20800153841381147,,,,,,
2018-10-04,W1,-0.0038501846318203,0,0,0,0.006853930105079176,0.20663647642598543,,,,,,
2018-10-05,W1,-0.0076357956846229,0,0,0,-0.014883420581919271,0.30990924516872465,,,,,,
2018-10-08,W1,0.0446851770722149,0,0,0,-0.011870596888364005,0.0,,,,,,
2018-10-09,W1,4.6465162752605816e-05,0,0,0,0.006377612842074942,0.1115624149414912,,,,,,
2018-10-10,W1,-0.0283819789396905,0,1,0,-0.01681352827706284,1.0,,,,,,
2018-10-11,W1,-0.00909970264685,0,0,0,0.00024620000000008524,1.0,,,,,,
2018-10-15,W1,0.0052802306935061,0,0,0,0.00024620000000052933,1.8438746307430202e-16,,,,,,
2018-10-16,W1,0.0278942605502478,0,0,0,0.029949543682795676,1.7906980045666456e-16,,,,,,
2018-10-17,W1,0.0005364994705374,0,0,0,0.00020046900197212558,1.7907798785603633e-16,,,,,,
2018-10-18,W1,-0.0226056285719915,0,0,0,-0.010717261695049829,1.8106257182204207e-16,,,,,,
2018-10-19,W1,0.0044387132799311,0,0,0,0.014545845788350054,0.09439992199826268,,,,,,
2018-10-22,W1,0.0162178130707918,0,0,0,0.015553864413307306,0.0,,,,,,
2018-10-23,W1,-0.00347578130694,0,0,0,0.022027595762331487,0.0,,,,,,
2018-10-24,W1,-0.0265630594964806,0,0,0,-0.022096718128242432,0.2296556062566855,,,,,,
2018-10-25,W1,0.0122049041752442,0,0,0,0.01204186012669628,0.22697889930974643,,,,,,
2018-10-26,W1,0.0192698714289791,0,0,0,0.019238571954691253,0.22274940113319128,,,,,,
