mecanismo,event_date,next_event_date,u_star,u_exec,regret_t,s_star,s_exec
M0,2019-03-11,2019-03-18,2.7717167604808552,-0.15909719143290083,2.930813951913756,"AZEV3,CEBR3,CEEB5,HAGA3,AFLT3,DOHL4,MWET4,CSNA3,PRIO3,JHSF3","USIM6,PLAS3,PETR3,CBEE3,CEED3,BMIN4,EALT3,INEP4,INEP3,GSHP3"
M0,2019-03-18,2019-03-25,1.4924453658079144,-0.142043856238698,1.6344892220466125,"RNEW4,RNEW3,FESA3,BAUH4,PPLA11,GSHP3,CEED3,BRSR5,CEDO4,ALPA3","PATI3,PLAS3,PETR3,BPAC3,INEP4,INEP3,GSHP3,RPAD5,COCE3,MWET4"
M0,2019-03-25,2019-04-01,1.8763324849796392,-1.5039658728219851,3.3802983578016246,"SOND6,SOND5,ENMT4,AMAR3,CSNA3,NATU3,RPAD3,CEBR5,CEBR6,ENMT3","PATI3,PETR3,MAPT4,JOPA4,LUXM4,WLMM3,GSHP3,INEP4,BMIN4,INEP3"
M0,2019-04-01,2019-04-08,1.4859897193292781,-0.061044654342885765,1.547034373672164,"EALT3,PSVM11,CEBR3,LUXM4,DTCY3,CEBR5,MBRF3,JSLG3,MWET4,FLRY3","PETR3,JOPA3,DOHL3,SOND6,SOND5,RPAD3,WLMM3,BPAC3,INEP4,INEP3"
M0,2019-04-08,2019-04-15,6.045454841258601,-1.1242343303256892,7.16968917158429,"VIVR3,EMAE3,MTSA3,CEED3,ESTR4,SOND5,SOND6,OIBR3,JOPA3,OIBR4","PETR3,EALT3,INEP4,INEP3,BPAC3,MWET4,CSNA3,PPLA11,DTCY3,ENGI3"
M0,2019-04-15,2019-04-22,2.5029617700710824,0.4150743284349187,2.087887441636164,"CASN3,CEED4,BPAC3,INEP4,ENGI4,INEP3,EUCA4,CPLE3,PLAS3,GEPA3","PATI3,CEED3,SOND5,SOND6,INEP4,BPAC3,INEP3,DTCY3,CSNA3,PNVL3"
M0,2019-04-22,2019-04-29,1.4399340345253906,-0.03354273464505387,1.4734767691704445,"MNPR3,ETER3,EUCA3,SBSP3,SEER3,CRPG5,BEEF3,CRPG6,HYPE3,CPLE3","USIM6,INEP3,DTCY3,ESTR4,RPAD5,BMIN4,CSNA3,RNEW4,RNEW3,AMAR3"
M0,2019-04-29,2019-05-06,3.8121926702651554,-0.07331777352702958,3.885510443792185,"PMAM3,CEBR5,ENGI3,MGLU3,CPLE3,BMIN4,NATU3,PPLA11,BEEF3,LEVE3","SOND5,INEP3,PATI3,USIM6,VIVR3,ENMT4,BPAC3,INEP4,DTCY3,RNEW4"
M0,2019-05-06,2019-05-13,1.3116981840794684,-0.4174494818290463,1.7291476659085148,"LUXM4,AHEB5,CEEB5,UCAS3,HAPV3,BPAC3,MGEL4,BAUH4,JSLG3,CEBR3","INEP3,PMAM3,VIVR3,CEBR5,BPAC3,ESTR4,RNEW4,DTCY3,CSNA3,BEEF3"
M0,2019-05-27,2019-06-03,1.7943678520716255,-0.2715542359962346,2.06592208806786,"PINE4,MRSA3B,MNPR3,BEES4,SAPR3,COCE5,ETER3,BEES3,HOOT4,SLCE3","TXRX3,INEP3,PMAM3,HAGA3,RNEW4,TKNO4,DTCY3,BPAC5,HBTS5,RNEW3"
M0,2019-06-03,2019-06-10,3.833093074554902,-0.6286732645610079,4.46176633911591,"AZEV3,AZEV4,HAGA3,RSID3,PLAS3,CEBR5,FICT3,CRPG6,HBOR3,GFSA3","PMAM3,INEP3,CBEE3,VIVR3,CEBR5,BPAC5,RNEW4,CPLE3,RNEW3,BPAC11"
M0,2019-06-10,2019-06-17,1.2798805220252627,-0.31459023284925514,1.5944707548745178,"PDGR3,HBTS5,PEAB4,OSXB3,AMAR3,PEAB3,CEBR3,CEBR6,MEAL3,ODPV3","PMAM3,VIVR3,INEP3,SOND5,RSUL4,HAGA3,MNPR3,BPAC5,ENMT3,BPAC11"
M0,2019-06-17,2019-06-24,2.2235138263484604,0.2364532627195274,1.987060563628933,"PSVM11,RPAD6,AFLT3,CEBR6,MNPR3,AHEB3,RPAD3,GFSA3,RPAD5,EQMA3B","PMAM3,INEP3,CBEE3,SOND5,VIVR3,MNPR3,BPAC5,ENMT3,JSLG3,NATU3"
M0,2019-06-24,2019-07-01,2.193765466335308,0.0161380036792642,2.177627462656044,"CTKA4,OSXB3,BIOM3,BAUH4,CTKA3,EUCA3,BMEB3,PINE4,BALM4,OIBR3","PMAM3,INEP3,VIVR3,ENMT4,CEBR5,RPAD5,BPAC5,QUAL3,JSLG3,ENMT3"
M0,2019-07-01,2019-07-08,4.58584368656102,0.5633347230984541,4.022508963462566,"RPMG3,CTKA3,SGPS3,CTKA4,TCSA3,HBOR3,CTNM4,MNPR3,CTNM3,WHRL3","PMAM3,INEP3,JOPA4,BALM4,VIVR3,MNPR3,BMEB3,CEBR6,BPAC5,TEND3"
M0,2019-07-08,2019-07-15,2.833372211481667,0.021867343180205594,2.8115048683014616,"ESTR4,AHEB3,NUTR3,SOND5,BNBR3,RCSL3,RSUL4,SOND6,BSLI4,PLAS3","PMAM3,INEP3,JOPA4,VIVR3,MNPR3,FRIO3,CEBR6,RPAD6,NEOE3,BAUH4"
M0,2019-07-15,2019-07-22,1.5530178781593822,-0.1550842316306215,1.7081021097900038,"HOOT4,WLMM3,HBTS5,UCAS3,SNSY5,PSVM11,GSHP3,LPSB3,FESA3,BMEB4","PMAM3,INEP3,HAGA3,MNPR3,PATI4,CTKA4,BSLI4,SOND5,BAUH4,CEBR6"
M0,2019-07-22,2019-07-29,3.3231164640365582,0.6196940921187787,2.7034223719177795,"NORD3,CTKA4,BNBR3,HAGA3,EQMA3B,PTNT4,EALT3,TXRX4,ABEV3,MWET4","PMAM3,INEP3,ESTR4,MNPR3,CTKA4,EKTR4,LOGN3,RPAD6,BMEB3,ENMT4"
M0,2019-08-12,2019-08-19,5.99321008813386,0.42030141966332313,5.572908668470537,"MAPT4,MAPT3,CEDO3,CEDO4,NORD3,PMAM3,PSVM11,DTCY3,MGEL4,RPMG3","TXRX3,NORD3,AZEV4,CTKA4,SOND6,COCE3,PINE4,HBOR3,DTCY3,LOGN3"
M0,2019-08-19,2019-08-26,4.907340478946612,-0.3545578047077618,5.261898283654373,"TELB3,TELB4,TXRX4,TXRX3,BAUH4,MRSA3B,AXIA6,FRIO3,BAZA3,AHEB3","TXRX3,MAPT4,AZEV4,CTKA4,DTCY3,RPMG3,LOGN3,MNPR3,CEBR6,BNBR3"
M0,2019-08-26,2019-09-02,3.7229721393938817,0.2605196762097532,3.4624524631841287,"HETA4,RPAD6,OIBR3,MWET4,ETER3,EMAE3,RPAD5,OIBR4,PPLA11,BPAC11","CTKA4,DTCY3,USIM6,JOPA3,AZEV4,HAGA3,AHEB3,AZEV3,RPMG3,CEBR6"
M0,2019-09-02,2019-09-09,1.1284703784815868,-0.8323679104681926,1.9608382889497795,"FICT3,BRSR5,CTKA3,MNPR3,UGPA3,LUPA3,BBAS3,PATI3,BIOM3,MGEL4","CTKA4,DTCY3,NORD3,AZEV4,AZEV3,HETA4,CEDO4,RPAD6,LOGN3,LPSB3"
M0,2019-09-09,2019-09-16,1.1082117576928234,-0.0031538287285721,1.1113655864213956,"PEAB4,PPLA11,BMIN4,ROMI3,BAZA3,BMEB3,MBRF3,UCAS3,POSI3,SUZB3","CTKA4,DTCY3,TELB3,RSUL4,RPMG3,CEDO4,BNBR3,LOGN3,TXRX4,HBOR3"
M0,2019-09-16,2019-09-23,5.552178740493159,0.4823982268816639,5.069780513611495,"EALT3,IRBR3,GPAR3,AFLT3,NORD3,FHER3,TXRX4,RPMG3,DASA3,ENMT4","TELB3,CTKA4,SOND5,NORD3,RSUL4,RPMG3,BAUH4,PPLA11,LOGN3,HBOR3"
M0,2019-09-23,2019-09-30,3.1360950755833747,-1.198511223878134,4.334606299461509,"GPAR3,AZEV3,AFLT3,HBTS5,OSXB3,RPAD3,CRPG3,RSUL4,PTNT4,CVCB3","CTKA4,TELB3,CEDO3,IRBR3,ENMT4,CEDO4,TXRX4,BNBR3,BSLI4,PPLA11"
M0,2019-09-30,2019-10-07,1.3861157135174231,-0.9065310907136894,2.2926468042311123,"RPAD6,BGIP3,MWET3,CTKA4,USIM6,WHRL4,WHRL3,RSUL4,BEEF3,MBRF3","USIM6,GPAR3,FRIO3,NORD3,BSLI4,ESTR4,BNBR3,ENMT4,PPLA11,CTKA3"
